priority,batch,url,reason
P2,B03,https://homeharmony.app/grocery-lists/summer-no-cook-lunch-and-dinner-grocery-list,"Topical long-tail acquisition pages"
P2,B03,https://homeharmony.app/grocery-lists/weekly-grocery-list-kid-friendly-dinners-family-of-4,"Topical long-tail acquisition pages"
P2,B03,https://homeharmony.app/meal-plans/air-fryer-family-meal-plan-under-25-minutes,"Topical long-tail acquisition pages"
P2,B03,https://homeharmony.app/meal-plans/athlete-family-meal-plan-with-double-recipe-flow,"Topical long-tail acquisition pages"
P2,B03,https://homeharmony.app/meal-plans/budget-family-dinner-plan-under-45-minutes,"Topical long-tail acquisition pages"
P2,B03,https://homeharmony.app/meal-plans/dairy-free-family-meal-plan-under-35-minutes,"Topical long-tail acquisition pages"
P2,B03,https://homeharmony.app/meal-plans/family-meal-plan-for-sports-practice-nights,"Topical long-tail acquisition pages"
P2,B03,https://homeharmony.app/meal-plans/gluten-free-family-meal-plan-with-macro-balance,"Topical long-tail acquisition pages"
P2,B03,https://homeharmony.app/meal-plans/high-iron-family-meal-plan-for-growing-kids,"Topical long-tail acquisition pages"
P2,B04,https://homeharmony.app/meal-plans/high-protein-kid-friendly-family-of-4-under-30-minutes,"Topical long-tail acquisition pages"
P2,B04,https://homeharmony.app/meal-plans/low-carb-family-dinner-plan-with-shared-base-meals,"Topical long-tail acquisition pages"
P2,B04,https://homeharmony.app/meal-plans/mediterranean-family-meal-plan-for-busy-weeknights,"Topical long-tail acquisition pages"
P2,B04,https://homeharmony.app/meal-plans/picky-eater-family-meal-plan-with-hidden-veggie-swaps,"Topical long-tail acquisition pages"
P2,B04,https://homeharmony.app/meal-plans/slow-cooker-weeknight-plan-for-busy-parents,"Topical long-tail acquisition pages"
P2,B04,https://homeharmony.app/pantry-meals/meals-with-black-beans-corn-tortillas-salsa,"Topical long-tail acquisition pages"
P2,B04,https://homeharmony.app/pantry-meals/meals-with-canned-tuna-rice-frozen-peas,"Topical long-tail acquisition pages"
P2,B04,https://homeharmony.app/pantry-meals/meals-with-chicken-pasta-yogurt,"Topical long-tail acquisition pages"
P2,B04,https://homeharmony.app/pantry-meals/meals-with-chicken-rice-onion,"Topical long-tail acquisition pages"
P2,B04,https://homeharmony.app/pantry-meals/meals-with-chickpeas-tomatoes-spinach-pasta,"Topical long-tail acquisition pages"
P2,B04,https://homeharmony.app/pantry-meals/meals-with-eggs-potatoes-yogurt,"Topical long-tail acquisition pages"
P2,B04,https://homeharmony.app/pantry-meals/meals-with-frozen-shrimp-rice-broccoli,"Topical long-tail acquisition pages"
P2,B04,https://homeharmony.app/pantry-meals/meals-with-ground-beef-pasta,"Topical long-tail acquisition pages"
P2,B04,https://homeharmony.app/pantry-meals/meals-with-ground-turkey-potatoes-frozen-corn,"Topical long-tail acquisition pages"
P2,B04,https://homeharmony.app/pantry-meals/meals-with-oats-eggs-banana-peanut-butter,"Topical long-tail acquisition pages"
P2,B04,https://homeharmony.app/pantry-meals/meals-with-rotisserie-chicken-bagged-salad-wraps,"Topical long-tail acquisition pages"
P2,B04,https://homeharmony.app/pantry-meals/meals-with-turkey-rice-frozen-veggies,"Topical long-tail acquisition pages"
P2,B04,https://homeharmony.app/recipe-collections/budget-meal-prep-bowl-recipe-collection,"Topical long-tail acquisition pages"
P2,B04,https://homeharmony.app/recipe-collections/dairy-free-family-dinner-recipe-collection,"Topical long-tail acquisition pages"
P2,B04,https://homeharmony.app/recipe-collections/family-breakfast-meal-prep-recipes,"Topical long-tail acquisition pages"
P2,B04,https://homeharmony.app/recipe-collections/family-sunday-batch-cook-recipe-collection,"Topical long-tail acquisition pages"
P2,B04,https://homeharmony.app/recipe-collections/freezer-friendly-family-recipes,"Topical long-tail acquisition pages"
P2,B04,https://homeharmony.app/recipe-collections/high-protein-meal-prep-recipes,"Topical long-tail acquisition pages"
P2,B04,https://homeharmony.app/recipe-collections/kid-friendly-high-iron-dinner-recipes,"Topical long-tail acquisition pages"
P2,B04,https://homeharmony.app/recipe-collections/kid-friendly-one-pan-dinner-recipes,"Topical long-tail acquisition pages"
P2,B05,https://homeharmony.app/recipe-collections/kid-friendly-slow-cooker-recipes,"Topical long-tail acquisition pages"
P2,B05,https://homeharmony.app/recipe-collections/low-mess-slow-cooker-freezer-dump-meals,"Topical long-tail acquisition pages"
P2,B05,https://homeharmony.app/recipe-collections/post-workout-family-dinner-recipe-collection,"Topical long-tail acquisition pages"
P2,B05,https://homeharmony.app/recipe-collections/under-30-minute-family-dinners,"Topical long-tail acquisition pages"
